                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6117,                 2.9081,                 1.5096,                0.00333,                      1,                0.01809,                0.01447,                 0.9348,                 2.8058,                 1.4313,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.5273,                 2.8736,                 1.6029,                0.00333,                      1,                0.03431,                0.02745,                0.99715,                 2.5987,                 1.5744,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 1.3656,                  2.616,                 1.5526,                0.00333,                      1,                0.07107,                0.05686,                 1.0272,                 2.3091,                 1.6659,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                 1.6843,                 2.3688,                 1.7498,                0.06089,                      1,                  0.995,                  0.796,                  1.069,                 1.9081,                 1.8341,             0.00011921,             0.00011921,             0.00011921
                      5,                 1.1874,                 2.0288,                 1.3881,                 0.7271,                      1,                  0.995,                  0.796,                 1.0796,                 1.6296,                 1.9769,             0.00014436,             0.00014436,             0.00014436
                      6,                 1.3877,                 1.8508,                 1.6042,                0.89574,                      1,                  0.995,                  0.796,                 1.0709,                 1.2877,                   2.02,             0.00016555,             0.00016555,             0.00016555
                      7,                 1.1106,                   1.54,                 1.4627,                0.94819,                      1,                  0.995,                  0.796,                 1.0392,                0.97475,                 1.9983,             0.00018278,             0.00018278,             0.00018278
                      8,                0.99519,                 1.1091,                 1.5597,                0.96376,                      1,                  0.995,                  0.796,                 0.9615,                0.78804,                 1.7712,             0.00019605,             0.00019605,             0.00019605
                      9,                 1.0671,                 1.0796,                 1.5482,                0.96923,                      1,                  0.995,                  0.796,                0.93349,                0.71873,                 1.6931,             0.00020536,             0.00020536,             0.00020536
                     10,                 1.1321,                0.83785,                 1.4247,                0.97209,                      1,                  0.995,                  0.796,                0.93265,                0.73693,                 1.6256,             0.00021071,             0.00021071,             0.00021071
                     11,                0.77192,                0.95293,                 1.1625,                0.97269,                      1,                  0.995,                  0.796,                0.97851,                0.77522,                 1.5551,              0.0002121,              0.0002121,              0.0002121
                     12,                0.84163,                0.86065,                 1.1185,                0.97269,                      1,                  0.995,                  0.796,                0.97851,                0.77522,                 1.5551,             0.00020953,             0.00020953,             0.00020953
                     13,                0.94983,                0.79471,                  1.227,                0.97323,                      1,                  0.995,                  0.796,                0.96929,                0.69334,                 1.5076,               0.000203,               0.000203,               0.000203
                     14,                0.86742,                0.83403,                 1.2484,                0.97305,                      1,                  0.995,                  0.796,                 0.8911,                 0.6297,                 1.4264,             0.00019251,             0.00019251,             0.00019251
                     15,                0.77002,                0.73486,                 1.1925,                0.97305,                      1,                  0.995,                  0.796,                 0.8911,                 0.6297,                 1.4264,             0.00017806,             0.00017806,             0.00017806
                     16,                0.74936,                0.85683,                 1.4581,                0.97251,                      1,                  0.995,                  0.796,                0.85213,                0.61294,                   1.38,             0.00015965,             0.00015965,             0.00015965
                     17,                 0.8558,                0.80218,                  1.314,                0.97186,                      1,                  0.995,                  0.796,                0.84767,                0.64416,                 1.3541,             0.00013728,             0.00013728,             0.00013728
                     18,                0.88398,                0.79357,                 1.3513,                0.97186,                      1,                  0.995,                  0.796,                0.84767,                0.64416,                 1.3541,             0.00011095,             0.00011095,             0.00011095
                     19,                0.77117,                0.77443,                 1.2888,                0.97072,                      1,                  0.995,                  0.796,                0.85033,                 0.6794,                 1.3377,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                0.95075,                0.87623,                 1.0807,                0.97072,                      1,                  0.995,                  0.796,                0.85033,                 0.6794,                 1.3377,              4.641e-05,              4.641e-05,              4.641e-05
