                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0835,                 2.1487,                 2.4848,                0.88764,                0.94833,                0.95257,                 0.5287,                 1.3641,                 1.9122,                 1.9342,                0.00032,                0.00032,                0.00032
                      2,                 1.3653,                 1.2607,                  2.028,                0.89583,                   0.92,                0.94024,                0.58134,                 1.1534,                 1.2078,                 2.1719,             0.00062733,             0.00062733,             0.00062733
                      3,                 1.1984,                0.96664,                 2.1659,                0.95962,                      1,                  0.995,                0.76379,                0.83446,                 1.2034,                 1.8722,               0.000901,               0.000901,               0.000901
                      4,                 1.0988,                0.83593,                 2.1351,                0.99368,                   0.96,                0.95638,                0.78142,                0.79535,                0.74483,                 1.9216,               0.001141,               0.001141,               0.001141
                      5,                0.99524,                0.78714,                 1.9812,                0.83427,                   0.96,                0.93443,                0.64059,                 1.0466,                 1.2334,                 2.1309,              0.0013474,              0.0013474,              0.0013474
                      6,                 1.0612,                0.78507,                 2.0188,                      1,                 0.9911,                  0.995,                0.79378,                0.76154,                0.56203,                 1.7783,               0.001505,               0.001505,               0.001505
                      7,                 1.0152,                0.70544,                 1.9853,                0.99255,                   0.96,                0.95526,                0.82259,                0.66858,                0.47482,                 1.7525,               0.001406,               0.001406,               0.001406
                      8,                  1.066,                0.70244,                 2.0042,                0.92229,                      1,                0.97828,                0.83203,                0.70439,                0.50824,                 1.7082,               0.001307,               0.001307,               0.001307
                      9,                 0.9192,                0.64763,                 1.8761,                0.92233,                      1,                0.95407,                0.73341,                0.80603,                0.65141,                 2.0102,               0.001208,               0.001208,               0.001208
                     10,                0.98121,                0.68041,                 1.9689,                0.98842,                      1,                  0.995,                0.83584,                0.66719,                  0.482,                 1.7473,               0.001109,               0.001109,               0.001109
                     11,                0.65122,                0.53511,                 1.7314,                0.95953,                      1,                0.98577,                0.84675,                0.63715,                0.45219,                 1.7212,                0.00101,                0.00101,                0.00101
                     12,                0.63869,                0.47219,                 1.6893,                0.95994,                      1,                0.99346,                 0.8709,                0.57466,                0.45394,                 1.5856,               0.000911,               0.000911,               0.000911
                     13,                0.60653,                0.43809,                 1.6673,                0.92312,                      1,                0.96004,                0.79835,                 0.6506,                0.50522,                 1.6983,               0.000812,               0.000812,               0.000812
                     14,                0.56178,                0.42768,                 1.6818,                0.96123,                0.99207,                0.96269,                0.83102,                0.60029,                0.47597,                 1.6822,               0.000713,               0.000713,               0.000713
                     15,                0.51268,                0.39287,                 1.6197,                0.95943,                      1,                0.98115,                0.86065,                0.58076,                0.41909,                 1.6661,               0.000614,               0.000614,               0.000614
                     16,                0.52147,                0.37911,                 1.6216,                0.95857,                      1,                0.99192,                0.86017,                0.59466,                0.40457,                 1.6293,               0.000515,               0.000515,               0.000515
                     17,                0.50498,                0.36963,                 1.6271,                0.93152,                      1,                0.98577,                0.84899,                0.59285,                0.41921,                 1.6403,               0.000416,               0.000416,               0.000416
                     18,                0.45971,                 0.3505,                 1.5899,                0.92219,                      1,                0.97764,                0.84048,                0.57936,                0.42777,                 1.6593,               0.000317,               0.000317,               0.000317
                     19,                0.44944,                0.36487,                 1.6031,                0.91866,                      1,                0.96741,                0.82364,                0.59515,                0.43233,                 1.6699,               0.000218,               0.000218,               0.000218
                     20,                0.47302,                0.34746,                 1.5679,                0.92269,                      1,                0.97346,                0.85379,                0.58508,                0.41319,                 1.6483,               0.000119,               0.000119,               0.000119
