epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3240.56,0.59478,0.40937,0.02011,0.05544,0.94548,0.93939,0.98146,0.92659,0.41901,0.24028,0.02949,0.05106,0.00071504,0.00071504,0.00071504
38,3328.45,0.60334,0.40652,0.01898,0.05771,0.96366,0.94526,0.98348,0.92634,0.42754,0.24144,0.02891,0.04947,0.000704041,0.000704041,0.000704041
39,3416.89,0.62026,0.41942,0.02047,0.05935,0.95582,0.94122,0.98331,0.92953,0.39965,0.22819,0.02928,0.04412,0.000693042,0.000693042,0.000693042
40,3505.13,0.59337,0.41505,0.01893,0.05268,0.94777,0.95702,0.98238,0.9285,0.4117,0.23234,0.0295,0.04603,0.000682043,0.000682043,0.000682043
41,3593.74,0.57937,0.39932,0.01894,0.05668,0.94488,0.95733,0.98303,0.93096,0.39222,0.23003,0.02905,0.03444,0.000671044,0.000671044,0.000671044
42,3682.17,0.57986,0.40711,0.01888,0.05144,0.94622,0.96357,0.98342,0.93348,0.39435,0.22666,0.02806,0.03654,0.000660045,0.000660045,0.000660045
43,3770.46,0.59431,0.41133,0.01902,0.05724,0.94543,0.9587,0.98345,0.93019,0.38659,0.21841,0.02882,0.04147,0.000649046,0.000649046,0.000649046
44,3859.13,0.58548,0.40554,0.01816,0.05198,0.96652,0.95114,0.98372,0.92699,0.4202,0.22974,0.03036,0.05644,0.000638047,0.000638047,0.000638047
45,3947.7,0.59764,0.40636,0.01848,0.05483,0.94258,0.96126,0.98153,0.93139,0.39131,0.22909,0.02963,0.03779,0.000627048,0.000627048,0.000627048
46,4035.81,0.59098,0.40744,0.0191,0.05107,0.95479,0.9525,0.98295,0.93124,0.39642,0.22243,0.02946,0.04155,0.000616049,0.000616049,0.000616049
47,4124.25,0.5818,0.38666,0.01842,0.05267,0.95216,0.95496,0.98404,0.93263,0.38372,0.20942,0.02935,0.03462,0.000605051,0.000605051,0.000605051
48,4212.43,0.57251,0.38532,0.01923,0.04982,0.96577,0.94604,0.98293,0.93675,0.37937,0.20654,0.02924,0.03726,0.000594052,0.000594052,0.000594052
49,4301.28,0.5713,0.39442,0.01875,0.05193,0.96608,0.95771,0.9863,0.94097,0.37217,0.20071,0.02813,0.0349,0.000583053,0.000583053,0.000583053
