epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,258.641,0.46586,0.40223,1.1886,0.99197,0.9977,0.995,0.96816,0.34498,0.25575,1.07305,0.0092905,0.0092905,0.0092905
45,263.863,0.46341,0.40349,1.1873,0.98341,1,0.995,0.96779,0.33863,0.24997,1.06491,0.009274,0.009274,0.009274
46,269.161,0.46377,0.38702,1.19432,0.98676,0.99736,0.995,0.96827,0.32363,0.24189,1.07942,0.0092575,0.0092575,0.0092575
47,274.29,0.46272,0.39694,1.19202,0.99266,0.99797,0.995,0.97068,0.32753,0.25003,1.08477,0.009241,0.009241,0.009241
48,279.667,0.46288,0.40408,1.18516,0.9853,1,0.995,0.97117,0.33435,0.25401,1.12012,0.0092245,0.0092245,0.0092245
49,285.632,0.45778,0.38977,1.18808,0.98957,1,0.995,0.96595,0.34138,0.24316,1.10454,0.009208,0.009208,0.009208
50,290.887,0.47145,0.40151,1.20194,0.98405,0.9948,0.995,0.97153,0.32629,0.23396,1.09689,0.0091915,0.0091915,0.0091915
51,295.669,0.47676,0.40745,1.19964,0.98631,1,0.995,0.973,0.3008,0.22947,1.12261,0.009175,0.009175,0.009175
52,300.363,0.45871,0.40008,1.18131,0.98362,1,0.995,0.96752,0.32444,0.23932,1.09302,0.0091585,0.0091585,0.0091585
53,305.64,0.44923,0.386,1.18112,0.99296,0.99783,0.995,0.96305,0.34562,0.24662,1.10101,0.009142,0.009142,0.009142
54,311.001,0.4555,0.39977,1.19291,0.98694,0.9963,0.995,0.95476,0.37264,0.26226,1.13523,0.0091255,0.0091255,0.0091255
55,315.811,0.45662,0.39577,1.19452,0.98864,1,0.995,0.97804,0.30149,0.21885,1.08352,0.009109,0.009109,0.009109
56,323.246,0.45,0.39534,1.17386,0.98298,1,0.995,0.96176,0.35732,0.2496,1.10169,0.0090925,0.0090925,0.0090925
57,328.248,0.44444,0.38719,1.16817,0.98852,0.99862,0.995,0.96528,0.32178,0.23677,1.08823,0.009076,0.009076,0.009076
58,333.556,0.44649,0.39299,1.15991,0.99177,0.99009,0.995,0.97094,0.31815,0.24387,1.08187,0.0090595,0.0090595,0.0090595
59,338.794,0.44332,0.37949,1.15801,0.98836,0.99473,0.995,0.96749,0.3268,0.24393,1.07949,0.009043,0.009043,0.009043
60,344.122,0.45485,0.40225,1.18636,0.98998,1,0.995,0.97006,0.30986,0.23029,1.07814,0.0090265,0.0090265,0.0090265
61,349.36,0.44438,0.3853,1.17613,0.9933,1,0.995,0.97121,0.33718,0.24319,1.08403,0.00901,0.00901,0.00901
62,354.17,0.45268,0.38925,1.16876,0.98632,0.98156,0.995,0.95553,0.35961,0.25887,1.11354,0.0089935,0.0089935,0.0089935
63,359.209,0.4405,0.37518,1.16161,0.98779,1,0.995,0.9683,0.31558,0.22873,1.07529,0.008977,0.008977,0.008977
64,364.309,0.44235,0.37123,1.16168,0.98577,1,0.995,0.97716,0.31279,0.22631,1.09408,0.0089605,0.0089605,0.0089605
65,369.535,0.45317,0.39573,1.16211,0.98712,0.99189,0.995,0.95584,0.36729,0.27124,1.15483,0.008944,0.008944,0.008944
66,374.762,0.43634,0.38739,1.15383,0.95535,0.96677,0.98741,0.95164,0.36234,0.32024,1.18639,0.0089275,0.0089275,0.0089275
67,379.857,0.4475,0.40338,1.18939,0.99096,0.99921,0.995,0.9777,0.29273,0.21455,1.11705,0.008911,0.008911,0.008911
68,384.615,0.43406,0.38654,1.16353,0.98805,1,0.995,0.96564,0.33977,0.23599,1.12968,0.0088945,0.0088945,0.0088945
69,389.454,0.43654,0.37424,1.17354,0.99015,1,0.995,0.97186,0.32542,0.22545,1.07665,0.008878,0.008878,0.008878
70,394.485,0.44641,0.39531,1.19344,0.99275,1,0.995,0.97544,0.3096,0.22057,1.0952,0.0088615,0.0088615,0.0088615
71,399.571,0.43975,0.3779,1.16051,0.98965,1,0.995,0.97416,0.32633,0.23874,1.13527,0.008845,0.008845,0.008845
72,404.866,0.43567,0.3905,1.16408,0.9911,1,0.995,0.96889,0.31953,0.22652,1.12754,0.0088285,0.0088285,0.0088285
73,409.991,0.43279,0.3904,1.15049,0.99278,1,0.995,0.97498,0.30898,0.221,1.08074,0.008812,0.008812,0.008812
74,415.027,0.4344,0.37976,1.16026,0.99139,0.99726,0.995,0.96829,0.30721,0.20957,1.103,0.0087955,0.0087955,0.0087955
75,420.304,0.42931,0.37132,1.17083,0.99092,1,0.995,0.9719,0.32344,0.2295,1.081,0.008779,0.008779,0.008779
76,425.306,0.42665,0.36933,1.14641,0.99435,0.99434,0.995,0.96473,0.35172,0.25313,1.12999,0.0087625,0.0087625,0.0087625
77,430.183,0.43719,0.3736,1.1699,0.989,0.99973,0.995,0.96581,0.3269,0.22604,1.09292,0.008746,0.008746,0.008746
78,435.468,0.41968,0.36154,1.13456,0.99236,0.99255,0.995,0.97652,0.31377,0.23169,1.06831,0.0087295,0.0087295,0.0087295
79,440.543,0.42794,0.37306,1.14518,0.98303,0.99502,0.995,0.97081,0.31789,0.23112,1.08704,0.008713,0.008713,0.008713
80,445.801,0.42679,0.3693,1.15899,0.99216,1,0.995,0.97623,0.30525,0.22323,1.06015,0.0086965,0.0086965,0.0086965
81,450.68,0.42019,0.37226,1.16062,0.9881,1,0.995,0.97985,0.2905,0.2099,1.08629,0.00868,0.00868,0.00868
82,458.047,0.43227,0.37535,1.16428,0.99274,0.99695,0.995,0.97414,0.31424,0.21704,1.09589,0.0086635,0.0086635,0.0086635
83,463.077,0.42479,0.36732,1.16402,0.98819,1,0.995,0.97725,0.31439,0.2393,1.04908,0.008647,0.008647,0.008647
84,468.339,0.42464,0.37596,1.16346,0.99076,1,0.995,0.9723,0.30617,0.2247,1.07046,0.0086305,0.0086305,0.0086305
85,473.586,0.41601,0.35278,1.14824,0.9804,0.99198,0.995,0.95943,0.34988,0.25111,1.1332,0.008614,0.008614,0.008614
86,478.866,0.41813,0.3599,1.16455,0.99179,1,0.995,0.97887,0.28006,0.21019,1.07539,0.0085975,0.0085975,0.0085975
87,484.173,0.41738,0.35725,1.15534,0.98689,1,0.995,0.97588,0.2952,0.21289,1.0724,0.008581,0.008581,0.008581
88,489.218,0.42636,0.36873,1.15993,0.99035,1,0.995,0.9743,0.30533,0.20546,1.08187,0.0085645,0.0085645,0.0085645
89,494.461,0.42657,0.36704,1.16972,0.98607,1,0.995,0.97763,0.31732,0.21541,1.08904,0.008548,0.008548,0.008548
90,499.762,0.41595,0.366,1.15936,0.99224,0.99395,0.995,0.98177,0.29331,0.21033,1.05713,0.0085315,0.0085315,0.0085315
91,507.167,0.41153,0.35097,1.15683,0.98874,0.99896,0.995,0.9739,0.31966,0.22994,1.10404,0.008515,0.008515,0.008515
92,512.45,0.40924,0.35213,1.14752,0.99543,1,0.995,0.97737,0.31224,0.2149,1.07417,0.0084985,0.0084985,0.0084985
93,517.732,0.41439,0.35992,1.14846,0.98777,0.99942,0.995,0.9792,0.28407,0.21083,1.06744,0.008482,0.008482,0.008482
94,522.834,0.41979,0.36301,1.18136,0.99154,1,0.995,0.97287,0.30532,0.21444,1.07527,0.0084655,0.0084655,0.0084655
95,528.15,0.41612,0.37391,1.1641,0.98975,0.99586,0.995,0.9676,0.33241,0.23452,1.09626,0.008449,0.008449,0.008449
96,533.913,0.40727,0.36157,1.14356,0.98781,1,0.995,0.97642,0.2794,0.21004,1.06175,0.0084325,0.0084325,0.0084325
97,539.191,0.41384,0.36138,1.15534,0.99199,0.99365,0.995,0.98509,0.27852,0.20225,1.06181,0.008416,0.008416,0.008416
98,546.378,0.41458,0.36447,1.14137,0.99331,0.99835,0.995,0.9788,0.31343,0.23201,1.08151,0.0083995,0.0083995,0.0083995
99,551.529,0.41225,0.35427,1.15751,0.99358,1,0.995,0.98096,0.28843,0.20795,1.07423,0.008383,0.008383,0.008383
100,556.774,0.41862,0.36925,1.17124,0.99277,1,0.995,0.98169,0.28987,0.21754,1.0671,0.0083665,0.0083665,0.0083665
101,561.886,0.40533,0.34888,1.13472,0.98676,0.99532,0.995,0.97878,0.28542,0.21147,1.05705,0.00835,0.00835,0.00835
102,567.211,0.40338,0.35541,1.1376,0.9957,1,0.995,0.97767,0.30009,0.22492,1.0708,0.0083335,0.0083335,0.0083335
103,572.492,0.39949,0.35285,1.13205,0.99424,1,0.995,0.9801,0.3008,0.20985,1.11052,0.008317,0.008317,0.008317
104,577.73,0.40931,0.36137,1.14051,0.98866,1,0.995,0.98436,0.28826,0.20336,1.07142,0.0083005,0.0083005,0.0083005
105,583.022,0.40698,0.35966,1.15106,0.986,0.99401,0.995,0.97437,0.30614,0.22993,1.08736,0.008284,0.008284,0.008284
106,588.117,0.40869,0.35723,1.15261,0.98323,0.99158,0.995,0.97102,0.30173,0.23368,1.08153,0.0082675,0.0082675,0.0082675
107,593.11,0.4035,0.34717,1.15922,0.98946,1,0.995,0.97088,0.32785,0.21785,1.14737,0.008251,0.008251,0.008251
108,598.291,0.40209,0.35378,1.1377,0.98908,1,0.995,0.98268,0.27794,0.20932,1.05892,0.0082345,0.0082345,0.0082345
109,603.543,0.40451,0.3524,1.14831,0.97184,0.97927,0.995,0.95733,0.34307,0.26535,1.1246,0.008218,0.008218,0.008218
110,608.78,0.40509,0.34438,1.14374,0.99202,1,0.995,0.9795,0.28491,0.19986,1.06401,0.0082015,0.0082015,0.0082015
111,614.003,0.39144,0.33583,1.14448,0.99207,0.99765,0.995,0.97284,0.28232,0.20094,1.07353,0.008185,0.008185,0.008185
112,619.097,0.38296,0.33805,1.13336,0.99159,1,0.995,0.97586,0.29648,0.21518,1.06448,0.0081685,0.0081685,0.0081685
113,624.336,0.39179,0.35447,1.12733,0.99254,1,0.995,0.97949,0.2834,0.20583,1.07796,0.008152,0.008152,0.008152
114,629.648,0.40518,0.36232,1.16503,0.98939,0.98443,0.995,0.9635,0.35266,0.25015,1.12036,0.0081355,0.0081355,0.0081355
115,634.863,0.4041,0.35661,1.15675,0.99462,1,0.995,0.97679,0.31271,0.21712,1.09227,0.008119,0.008119,0.008119
116,640.169,0.40098,0.35641,1.14417,0.99354,1,0.995,0.97567,0.28983,0.20616,1.07612,0.0081025,0.0081025,0.0081025
117,645.447,0.40076,0.35301,1.15752,0.98742,1,0.995,0.97051,0.29475,0.20375,1.05641,0.008086,0.008086,0.008086
118,650.703,0.39028,0.34478,1.13919,0.99346,1,0.995,0.98106,0.27979,0.19301,1.06833,0.0080695,0.0080695,0.0080695
119,655.959,0.40178,0.36373,1.13807,0.99132,1,0.995,0.97918,0.27681,0.20187,1.0682,0.008053,0.008053,0.008053
120,661.203,0.39929,0.34667,1.14338,0.95446,0.90063,0.97192,0.89882,0.44429,0.50998,1.25018,0.0080365,0.0080365,0.0080365
121,666.137,0.38978,0.3451,1.1522,0.99282,1,0.995,0.97743,0.29192,0.20309,1.06401,0.00802,0.00802,0.00802
122,671.379,0.39172,0.34118,1.13341,0.98966,1,0.995,0.97779,0.27958,0.20297,1.0642,0.0080035,0.0080035,0.0080035
123,676.534,0.39885,0.34989,1.16271,0.98725,1,0.995,0.97959,0.28021,0.20503,1.06443,0.007987,0.007987,0.007987
124,681.791,0.39407,0.35077,1.14205,0.9939,1,0.995,0.98124,0.27565,0.19015,1.06468,0.0079705,0.0079705,0.0079705
125,687.022,0.39087,0.34867,1.14348,0.99522,1,0.995,0.98492,0.27827,0.19946,1.07462,0.007954,0.007954,0.007954
126,692.359,0.39528,0.34429,1.13922,0.98973,1,0.995,0.98019,0.29343,0.20435,1.06689,0.0079375,0.0079375,0.0079375
127,697.657,0.38717,0.33888,1.14495,0.98735,1,0.995,0.97633,0.29105,0.20181,1.10387,0.007921,0.007921,0.007921
128,702.74,0.39526,0.34472,1.14876,0.99384,1,0.995,0.97875,0.28911,0.19494,1.07207,0.0079045,0.0079045,0.0079045
129,708.004,0.39765,0.34979,1.15544,0.99205,0.99446,0.995,0.97213,0.32249,0.21367,1.093,0.007888,0.007888,0.007888
130,713.042,0.37827,0.33787,1.12716,0.99236,1,0.995,0.97751,0.28022,0.20066,1.06775,0.0078715,0.0078715,0.0078715
131,720.195,0.38026,0.3391,1.13395,0.99105,1,0.995,0.98408,0.26602,0.19627,1.06026,0.007855,0.007855,0.007855
132,725.401,0.38483,0.34098,1.13069,0.99294,1,0.995,0.98489,0.27068,0.19229,1.05009,0.0078385,0.0078385,0.0078385
133,730.487,0.38662,0.34585,1.13713,0.99131,1,0.995,0.97466,0.28562,0.1986,1.07621,0.007822,0.007822,0.007822
134,735.587,0.37769,0.33193,1.13264,0.99436,0.98765,0.995,0.97311,0.30807,0.21464,1.09844,0.0078055,0.0078055,0.0078055
135,740.525,0.38322,0.34375,1.15444,0.99336,0.99887,0.995,0.97781,0.29204,0.20014,1.07886,0.007789,0.007789,0.007789
136,746.015,0.38978,0.34313,1.14169,0.99449,1,0.995,0.98334,0.26629,0.18911,1.06032,0.0077725,0.0077725,0.0077725
137,751.045,0.37844,0.33584,1.13558,0.99357,1,0.995,0.98298,0.27824,0.19027,1.06599,0.007756,0.007756,0.007756
138,756.233,0.38527,0.33454,1.13666,0.98332,0.99185,0.995,0.95922,0.36247,0.24744,1.14301,0.0077395,0.0077395,0.0077395
139,761.428,0.37958,0.34545,1.12693,0.9925,1,0.995,0.97996,0.28385,0.19405,1.06322,0.007723,0.007723,0.007723
140,766.658,0.39287,0.34926,1.14529,0.98619,1,0.995,0.98585,0.2674,0.19033,1.05728,0.0077065,0.0077065,0.0077065
141,773.879,0.38216,0.33845,1.12625,0.99415,1,0.995,0.97968,0.30163,0.20413,1.08819,0.00769,0.00769,0.00769
142,779.217,0.37268,0.33031,1.11668,0.99406,1,0.995,0.97742,0.30097,0.19786,1.10265,0.0076735,0.0076735,0.0076735
143,784.525,0.37424,0.32298,1.15058,0.99311,1,0.995,0.97884,0.29282,0.18699,1.08154,0.007657,0.007657,0.007657
144,789.691,0.37409,0.3246,1.14175,0.99261,1,0.995,0.9848,0.26395,0.18826,1.07405,0.0076405,0.0076405,0.0076405
145,794.599,0.38164,0.34101,1.13398,0.99203,1,0.995,0.97875,0.28967,0.19899,1.08804,0.007624,0.007624,0.007624
146,799.391,0.37968,0.33943,1.1366,0.99591,1,0.995,0.98142,0.27608,0.18813,1.08275,0.0076075,0.0076075,0.0076075
147,804.387,0.37333,0.32786,1.12578,0.99462,1,0.995,0.98398,0.27408,0.19148,1.09302,0.007591,0.007591,0.007591
148,809.577,0.37559,0.32225,1.14415,0.99748,1,0.995,0.98496,0.28026,0.18875,1.07233,0.0075745,0.0075745,0.0075745
149,814.815,0.37735,0.32449,1.14842,0.99608,1,0.995,0.98376,0.27232,0.1848,1.0732,0.007558,0.007558,0.007558
150,819.727,0.38288,0.35525,1.13084,0.99409,1,0.995,0.97836,0.28307,0.19883,1.08662,0.0075415,0.0075415,0.0075415
151,824.595,0.37774,0.33286,1.14794,0.98924,1,0.995,0.9788,0.27883,0.1966,1.06532,0.007525,0.007525,0.007525
152,829.763,0.36763,0.32704,1.11702,0.99417,1,0.995,0.97934,0.2758,0.19662,1.06139,0.0075085,0.0075085,0.0075085
153,834.956,0.37609,0.32443,1.12497,0.99557,1,0.995,0.98385,0.26857,0.18724,1.06022,0.007492,0.007492,0.007492
154,839.738,0.36676,0.32461,1.13046,0.99497,1,0.995,0.98305,0.28103,0.19413,1.07858,0.0074755,0.0074755,0.0074755
155,844.941,0.37498,0.3311,1.14427,0.99595,1,0.995,0.98154,0.28773,0.19237,1.07511,0.007459,0.007459,0.007459
156,849.936,0.3812,0.33446,1.13405,0.99393,1,0.995,0.98885,0.26851,0.18855,1.06173,0.0074425,0.0074425,0.0074425
157,857.491,0.3639,0.32708,1.12399,0.99589,1,0.995,0.97756,0.28142,0.18406,1.08942,0.007426,0.007426,0.007426
158,862.435,0.37686,0.33731,1.14231,0.99503,1,0.995,0.97806,0.30318,0.20527,1.10781,0.0074095,0.0074095,0.0074095
159,867.228,0.37742,0.33131,1.146,0.99472,1,0.995,0.97756,0.29646,0.19312,1.09679,0.007393,0.007393,0.007393
160,872.039,0.36878,0.33206,1.12907,0.99031,1,0.995,0.9874,0.27134,0.18831,1.0728,0.0073765,0.0073765,0.0073765
161,876.908,0.36565,0.32894,1.12411,0.99405,1,0.995,0.97811,0.27338,0.187,1.0836,0.00736,0.00736,0.00736
162,882.218,0.37105,0.33129,1.12659,0.99672,1,0.995,0.98565,0.27873,0.18343,1.07479,0.0073435,0.0073435,0.0073435
163,887.286,0.35543,0.32081,1.12579,0.99569,1,0.995,0.98773,0.2645,0.18425,1.06991,0.007327,0.007327,0.007327
164,892.592,0.3569,0.32545,1.12147,0.99472,1,0.995,0.981,0.26435,0.1782,1.06372,0.0073105,0.0073105,0.0073105
165,897.397,0.35871,0.31666,1.10152,0.99248,1,0.995,0.9826,0.27567,0.17694,1.07281,0.007294,0.007294,0.007294
