epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3276.46,0.59002,0.3829,0.0184,0.05347,0.94225,0.95174,0.98123,0.92625,0.42327,0.23567,0.02903,0.0496,0.00071504,0.00071504,0.00071504
38,3364.16,0.58087,0.39143,0.01842,0.05207,0.93129,0.96837,0.98136,0.92273,0.44373,0.25614,0.02915,0.04812,0.000704041,0.000704041,0.000704041
39,3452.04,0.59416,0.38593,0.01914,0.05304,0.94824,0.9607,0.98207,0.92571,0.41208,0.23365,0.02831,0.04254,0.000693042,0.000693042,0.000693042
40,3539.67,0.57672,0.39416,0.01911,0.05003,0.95845,0.93869,0.98108,0.92367,0.43647,0.24868,0.02757,0.05023,0.000682043,0.000682043,0.000682043
41,3627.55,0.56583,0.36941,0.01835,0.05143,0.93439,0.96258,0.98182,0.92928,0.39814,0.22867,0.02761,0.03406,0.000671044,0.000671044,0.000671044
42,3715.55,0.56464,0.37453,0.01948,0.04996,0.95258,0.95564,0.98355,0.93323,0.41301,0.2206,0.02868,0.0436,0.000660045,0.000660045,0.000660045
43,3803.36,0.57441,0.37687,0.01898,0.05172,0.94313,0.95896,0.98207,0.92457,0.43504,0.23627,0.02599,0.0512,0.000649046,0.000649046,0.000649046
44,3891.16,0.56375,0.37275,0.01831,0.04874,0.96362,0.94625,0.98443,0.93147,0.39988,0.23073,0.0262,0.03705,0.000638047,0.000638047,0.000638047
45,3979.11,0.57497,0.36103,0.01786,0.05126,0.96632,0.9447,0.98408,0.93243,0.41269,0.23041,0.0265,0.03746,0.000627048,0.000627048,0.000627048
46,4066.7,0.57766,0.37503,0.01925,0.04922,0.9647,0.95096,0.984,0.93337,0.40649,0.21749,0.02726,0.03728,0.000616049,0.000616049,0.000616049
47,4154.35,0.56886,0.36306,0.01813,0.05243,0.97132,0.95734,0.98329,0.93424,0.38717,0.20615,0.02798,0.03396,0.000605051,0.000605051,0.000605051
48,4240.95,0.55591,0.35104,0.01781,0.05101,0.97477,0.94618,0.98459,0.93635,0.39463,0.21943,0.02864,0.04153,0.000594052,0.000594052,0.000594052
49,4327.81,0.56811,0.36369,0.01816,0.04738,0.96157,0.9617,0.98538,0.93976,0.37972,0.20943,0.02784,0.03987,0.000583053,0.000583053,0.000583053
50,4414.76,0.55202,0.36166,0.01784,0.04895,0.97217,0.94781,0.98534,0.93787,0.39157,0.22084,0.02882,0.03661,0.000572054,0.000572054,0.000572054
51,4501.41,0.55861,0.37568,0.01875,0.04787,0.95339,0.96499,0.98456,0.93606,0.3858,0.21727,0.02943,0.03958,0.000561055,0.000561055,0.000561055
52,4588.21,0.56696,0.36168,0.01901,0.05685,0.97166,0.9527,0.98459,0.93858,0.38314,0.21119,0.02977,0.04078,0.000550056,0.000550056,0.000550056
53,4674.87,0.5398,0.35599,0.01863,0.04375,0.96972,0.95332,0.98596,0.93925,0.39362,0.21078,0.02719,0.03679,0.000539057,0.000539057,0.000539057
54,4761.54,0.54906,0.35932,0.01853,0.04831,0.96446,0.95222,0.98537,0.93928,0.38507,0.19879,0.027,0.03732,0.000528058,0.000528058,0.000528058
55,4848.55,0.53607,0.34412,0.01796,0.04369,0.9465,0.96427,0.98506,0.93925,0.37073,0.20516,0.02608,0.03713,0.000517059,0.000517059,0.000517059
56,4935.3,0.52906,0.34736,0.01843,0.04498,0.96898,0.96343,0.9863,0.93953,0.38624,0.20742,0.02799,0.04332,0.00050606,0.00050606,0.00050606
57,5022.51,0.53286,0.34164,0.01845,0.04274,0.95862,0.96335,0.98598,0.93962,0.37547,0.20464,0.02739,0.0371,0.000495062,0.000495062,0.000495062
58,5109.03,0.55654,0.35383,0.01923,0.0481,0.95964,0.95603,0.98538,0.94022,0.38631,0.20562,0.02744,0.04294,0.000484063,0.000484063,0.000484063
59,5195.74,0.53952,0.34031,0.01816,0.0446,0.95929,0.96367,0.98505,0.94164,0.37272,0.19995,0.02713,0.03599,0.000473064,0.000473064,0.000473064
60,5282.57,0.53009,0.34501,0.01845,0.04304,0.92914,0.98203,0.98443,0.93785,0.38081,0.20358,0.02791,0.04081,0.000462065,0.000462065,0.000462065
61,5369.23,0.54836,0.36619,0.01932,0.04629,0.96369,0.95287,0.98665,0.94166,0.36888,0.20179,0.02795,0.03581,0.000451066,0.000451066,0.000451066
62,5455.91,0.5282,0.34083,0.01834,0.04307,0.94567,0.96373,0.98523,0.94334,0.36851,0.20477,0.02714,0.03546,0.000440067,0.000440067,0.000440067
63,5543.07,0.53737,0.34162,0.01829,0.04322,0.95323,0.95701,0.98455,0.93929,0.38595,0.21324,0.02834,0.04225,0.000429068,0.000429068,0.000429068
64,5629.95,0.52111,0.33372,0.01865,0.04339,0.96778,0.95013,0.98392,0.94099,0.37141,0.20153,0.02742,0.03588,0.000418069,0.000418069,0.000418069
65,5716.77,0.51188,0.31845,0.01729,0.04318,0.94448,0.96482,0.98477,0.94064,0.36555,0.1968,0.02743,0.03255,0.00040707,0.00040707,0.00040707
66,5803.49,0.51846,0.32292,0.01829,0.04316,0.95201,0.95903,0.98524,0.9388,0.37459,0.20314,0.02763,0.03918,0.000396071,0.000396071,0.000396071
67,5890.21,0.52864,0.33987,0.01876,0.04029,0.96499,0.96318,0.98477,0.93872,0.36745,0.19487,0.02792,0.03498,0.000385073,0.000385073,0.000385073
68,5976.99,0.51681,0.34377,0.01816,0.04016,0.94849,0.96496,0.98431,0.94154,0.37498,0.20684,0.02751,0.03816,0.000374074,0.000374074,0.000374074
69,6063.5,0.5101,0.32483,0.01903,0.03927,0.93962,0.96442,0.98339,0.94057,0.35723,0.21068,0.02744,0.03189,0.000363075,0.000363075,0.000363075
70,6150.51,0.5336,0.33598,0.01879,0.04328,0.97246,0.9383,0.98441,0.93735,0.36846,0.19884,0.0286,0.03546,0.000352076,0.000352076,0.000352076
71,6237.34,0.52396,0.3449,0.01887,0.04047,0.97425,0.94375,0.9865,0.94401,0.37264,0.1874,0.02769,0.03551,0.000341077,0.000341077,0.000341077
72,6324.07,0.52721,0.35177,0.01843,0.04068,0.95322,0.95498,0.98422,0.94344,0.36105,0.1934,0.02804,0.03554,0.000330078,0.000330078,0.000330078
73,6411.23,0.50948,0.32545,0.01799,0.03919,0.95903,0.95326,0.98483,0.94482,0.36205,0.19217,0.02846,0.03398,0.000319079,0.000319079,0.000319079
74,6498.09,0.51785,0.33996,0.01847,0.04119,0.95976,0.96066,0.98639,0.9482,0.34608,0.18204,0.02767,0.03273,0.00030808,0.00030808,0.00030808
75,6585.27,0.50009,0.3256,0.01838,0.03893,0.96922,0.96566,0.98694,0.94513,0.35197,0.18779,0.02773,0.0311,0.000297081,0.000297081,0.000297081
76,6671.97,0.49397,0.31812,0.01873,0.0374,0.96258,0.96236,0.98676,0.94728,0.34956,0.18352,0.02885,0.03224,0.000286083,0.000286083,0.000286083
77,6758.82,0.49324,0.31248,0.01784,0.03705,0.96957,0.96834,0.98763,0.95016,0.34712,0.17894,0.02837,0.03405,0.000275084,0.000275084,0.000275084
78,6845.82,0.49603,0.31895,0.01833,0.03666,0.97302,0.96833,0.9879,0.95043,0.34648,0.17945,0.02887,0.03401,0.000264085,0.000264085,0.000264085
79,6932.59,0.48897,0.32599,0.01832,0.03786,0.96334,0.97206,0.98712,0.94903,0.35089,0.17621,0.02878,0.04216,0.000253086,0.000253086,0.000253086
80,7019.64,0.49327,0.3203,0.01766,0.03466,0.97006,0.95702,0.98733,0.9465,0.34795,0.17757,0.02896,0.03287,0.000242087,0.000242087,0.000242087
81,7106.23,0.49883,0.31227,0.01886,0.03595,0.96748,0.97123,0.98764,0.94871,0.34633,0.17334,0.02827,0.03633,0.000231088,0.000231088,0.000231088
82,7192.97,0.47809,0.31483,0.01768,0.03681,0.9566,0.97676,0.98556,0.94781,0.34688,0.1787,0.02805,0.03325,0.000220089,0.000220089,0.000220089
83,7279.94,0.49844,0.30607,0.0187,0.04037,0.96479,0.95554,0.98446,0.94588,0.34884,0.18764,0.02849,0.03213,0.00020909,0.00020909,0.00020909
84,7366.81,0.50395,0.33175,0.01865,0.03894,0.95981,0.9664,0.98679,0.94742,0.34343,0.18107,0.02842,0.03295,0.000198091,0.000198091,0.000198091
85,7453.7,0.49621,0.31549,0.01798,0.03826,0.96691,0.9613,0.9858,0.94799,0.34441,0.18047,0.02758,0.03385,0.000187092,0.000187092,0.000187092
86,7541.08,0.49885,0.32157,0.019,0.03934,0.95554,0.97426,0.98564,0.94795,0.3439,0.1806,0.02801,0.03308,0.000176094,0.000176094,0.000176094
87,7627.73,0.48116,0.30251,0.01749,0.03744,0.95952,0.9703,0.98621,0.9475,0.35289,0.178,0.02804,0.03678,0.000165095,0.000165095,0.000165095
88,7714.53,0.48531,0.32104,0.01828,0.03421,0.9556,0.96753,0.98553,0.94716,0.34021,0.17857,0.02817,0.03321,0.000154096,0.000154096,0.000154096
89,7801.92,0.48261,0.31285,0.0187,0.03702,0.95844,0.97614,0.987,0.94922,0.34458,0.17918,0.02785,0.03346,0.000143097,0.000143097,0.000143097
90,7888.91,0.48778,0.31369,0.01803,0.03909,0.96439,0.96072,0.98691,0.94845,0.33717,0.17956,0.02799,0.0327,0.000132098,0.000132098,0.000132098
91,7976.64,0.30852,0.18888,0.01942,0.02709,0.9722,0.96392,0.98647,0.94813,0.34813,0.17926,0.02824,0.03384,0.000121099,0.000121099,0.000121099
92,8062.74,0.30957,0.18662,0.01901,0.02803,0.9623,0.96533,0.98449,0.94728,0.34282,0.17879,0.02804,0.03287,0.0001101,0.0001101,0.0001101
93,8148.99,0.30398,0.18509,0.01902,0.02543,0.95668,0.96926,0.98523,0.94598,0.34432,0.17804,0.0277,0.03539,9.91012e-05,9.91012e-05,9.91012e-05
94,8235.73,0.29886,0.18536,0.01924,0.02448,0.96716,0.9594,0.98464,0.94591,0.34529,0.18232,0.02772,0.03264,8.81023e-05,8.81023e-05,8.81023e-05
95,8321.96,0.29976,0.18314,0.01939,0.02709,0.9618,0.96796,0.98482,0.94718,0.34486,0.17954,0.02788,0.03411,7.71034e-05,7.71034e-05,7.71034e-05
96,8408.71,0.3027,0.17808,0.01894,0.02622,0.96545,0.96114,0.9838,0.94657,0.34536,0.17971,0.02782,0.03175,6.61045e-05,6.61045e-05,6.61045e-05
97,8494.87,0.29936,0.18547,0.01991,0.02507,0.96155,0.96066,0.98291,0.94572,0.33982,0.17967,0.02766,0.03186,5.51056e-05,5.51056e-05,5.51056e-05
98,8581.4,0.30679,0.18462,0.01974,0.02614,0.95693,0.97466,0.98303,0.94736,0.33931,0.17792,0.02741,0.03127,4.41067e-05,4.41067e-05,4.41067e-05
99,8668.13,0.29994,0.17495,0.01955,0.02577,0.96952,0.95991,0.98444,0.94813,0.33959,0.17643,0.02784,0.03159,3.31078e-05,3.31078e-05,3.31078e-05
100,8754.59,0.29186,0.17542,0.01918,0.02474,0.95824,0.97564,0.98505,0.94873,0.33761,0.17464,0.02783,0.03144,2.21089e-05,2.21089e-05,2.21089e-05
