epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,494.712,1.05758,0.72312,0.03831,0.12914,0.91996,0.90404,0.96276,0.72859,0.79385,0.44978,0.0505,0.12412,0.0012872,0.0012872,0.0012872
38,507.66,1.02751,0.72128,0.04191,0.13715,0.95422,0.93689,0.96493,0.73361,0.80899,0.46925,0.05583,0.11155,0.0012674,0.0012674,0.0012674
39,520.553,1.07136,0.78594,0.0444,0.11243,0.93366,0.9489,0.97383,0.74489,0.79034,0.45693,0.05099,0.14346,0.0012476,0.0012476,0.0012476
40,533.712,1.08312,0.75401,0.03958,0.13675,0.93819,0.97753,0.97591,0.75226,0.77197,0.46411,0.04954,0.13335,0.0012278,0.0012278,0.0012278
41,546.657,1.05855,0.67094,0.04396,0.13127,0.9878,0.93258,0.97229,0.74694,0.78205,0.41629,0.0536,0.134,0.001208,0.001208,0.001208
42,559.56,1.04574,0.71048,0.04247,0.12027,0.92711,0.89888,0.94801,0.74541,0.7575,0.45753,0.05595,0.12306,0.0011882,0.0011882,0.0011882
43,572.858,0.98663,0.66127,0.04381,0.1221,0.91996,0.90408,0.95713,0.75281,0.75764,0.39985,0.05262,0.15443,0.0011684,0.0011684,0.0011684
44,585.832,1.00669,0.72305,0.03914,0.11818,0.90035,0.91366,0.96571,0.75361,0.74776,0.40094,0.05372,0.13648,0.0011486,0.0011486,0.0011486
45,598.74,1.00737,0.68515,0.04482,0.11251,0.96532,0.88764,0.96675,0.75484,0.73988,0.3834,0.05592,0.1082,0.0011288,0.0011288,0.0011288
46,611.888,1.01068,0.68431,0.04479,0.11475,0.92564,0.95506,0.97577,0.75961,0.76949,0.37635,0.05454,0.10517,0.001109,0.001109,0.001109
47,624.826,1.00719,0.70294,0.04036,0.10579,0.87364,0.9322,0.95274,0.74772,0.71759,0.40286,0.04908,0.11444,0.0010892,0.0010892,0.0010892
48,637.743,0.96176,0.61224,0.03913,0.10992,0.82653,0.95506,0.94499,0.74471,0.7228,0.41544,0.05063,0.11617,0.0010694,0.0010694,0.0010694
49,650.805,1.01858,0.64596,0.0395,0.11761,0.96241,0.86314,0.96654,0.76578,0.73974,0.38502,0.05591,0.12435,0.0010496,0.0010496,0.0010496
50,663.738,0.97717,0.66495,0.04141,0.11509,0.92267,0.93849,0.97285,0.77831,0.70877,0.34341,0.0561,0.11591,0.0010298,0.0010298,0.0010298
51,676.726,0.98252,0.63975,0.04301,0.11626,0.94651,0.85393,0.95145,0.77166,0.71747,0.37587,0.05185,0.13353,0.00101,0.00101,0.00101
52,689.796,0.95296,0.66292,0.04099,0.10027,0.92855,0.91011,0.96442,0.77396,0.706,0.39613,0.05309,0.11837,0.0009902,0.0009902,0.0009902
53,702.794,1.01153,0.66767,0.04154,0.09728,0.9135,0.94925,0.97565,0.78097,0.71269,0.35028,0.05365,0.11638,0.0009704,0.0009704,0.0009704
54,715.722,0.99761,0.65416,0.04042,0.10763,0.9554,0.92135,0.9801,0.79031,0.71546,0.32632,0.05208,0.11701,0.0009506,0.0009506,0.0009506
55,728.894,0.96942,0.6565,0.04331,0.11072,0.90146,0.92135,0.96105,0.78364,0.69323,0.35915,0.0517,0.1087,0.0009308,0.0009308,0.0009308
56,741.947,0.95313,0.58336,0.04128,0.11647,0.94747,0.91011,0.96494,0.79347,0.68244,0.3204,0.05275,0.09967,0.000911,0.000911,0.000911
57,754.87,0.91343,0.63303,0.03913,0.10031,0.91072,0.91699,0.96257,0.78046,0.68965,0.33264,0.05527,0.09384,0.0008912,0.0008912,0.0008912
58,767.966,0.95688,0.7096,0.04357,0.08867,0.95022,0.91011,0.9643,0.78167,0.67767,0.3273,0.05429,0.08515,0.0008714,0.0008714,0.0008714
59,781.015,0.92217,0.60937,0.03885,0.09169,0.92405,0.93258,0.9637,0.78786,0.65106,0.33099,0.05166,0.09513,0.0008516,0.0008516,0.0008516
60,794.263,0.8987,0.58791,0.04277,0.08766,0.96401,0.90287,0.95955,0.79271,0.63814,0.31963,0.05175,0.08958,0.0008318,0.0008318,0.0008318
61,807.366,0.93428,0.63133,0.04243,0.10867,0.96492,0.96629,0.97576,0.79198,0.64771,0.31896,0.0526,0.09062,0.000812,0.000812,0.000812
62,820.448,0.95422,0.57035,0.04057,0.09293,0.95114,0.95506,0.97375,0.81256,0.6297,0.29205,0.05266,0.08348,0.0007922,0.0007922,0.0007922
63,833.785,0.96514,0.63969,0.04279,0.0879,0.9437,0.94167,0.96778,0.80924,0.64575,0.2975,0.05159,0.09135,0.0007724,0.0007724,0.0007724
64,846.809,0.89475,0.62316,0.04335,0.08142,0.9271,0.94382,0.97027,0.8116,0.65125,0.29066,0.05377,0.09277,0.0007526,0.0007526,0.0007526
65,859.775,0.88661,0.63015,0.04227,0.08145,0.94154,0.92135,0.96663,0.80121,0.66623,0.31041,0.05485,0.09883,0.0007328,0.0007328,0.0007328
66,872.788,0.94336,0.65982,0.04342,0.08358,0.97552,0.89541,0.96862,0.8077,0.64733,0.2861,0.05427,0.10104,0.000713,0.000713,0.000713
67,886.167,0.91434,0.59966,0.04122,0.0811,0.94482,0.9619,0.97051,0.81382,0.64928,0.28278,0.05199,0.0914,0.0006932,0.0006932,0.0006932
68,899.13,0.87258,0.57706,0.04096,0.07608,0.94247,0.92041,0.9648,0.80193,0.62486,0.32538,0.05095,0.0909,0.0006734,0.0006734,0.0006734
