                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70736,                0.48011,                 1.7009,                0.92236,                      1,                0.97924,                0.86417,                0.49419,                0.47663,                 1.4285,               0.001307,               0.001307,               0.001307
                     37,                0.65666,                0.47251,                 1.6413,                0.92277,                      1,                0.98564,                0.90654,                0.44397,                0.42312,                 1.3438,              0.0012872,              0.0012872,              0.0012872
                     38,                0.68978,                 0.5076,                 1.7589,                0.94886,                      1,                0.98577,                0.91817,                0.40695,                0.38645,                 1.4038,              0.0012674,              0.0012674,              0.0012674
                     39,                0.64563,                0.47779,                 1.6651,                0.94877,                      1,                0.98577,                0.90452,                0.43213,                0.39757,                 1.4031,              0.0012476,              0.0012476,              0.0012476
                     40,                0.66898,                0.47311,                 1.6108,                0.92303,                      1,                0.98404,                0.87244,                0.46226,                0.45885,                 1.3595,              0.0012278,              0.0012278,              0.0012278
                     41,                0.65839,                0.46333,                 1.6438,                0.92542,                      1,                0.99346,                0.89095,                0.43237,                0.44831,                  1.334,               0.001208,               0.001208,               0.001208
                     42,                0.65212,                0.47657,                 1.6989,                0.98457,                      1,                  0.995,                0.90688,                0.39138,                0.35669,                 1.2797,              0.0011882,              0.0011882,              0.0011882
                     43,                0.64509,                0.46845,                 1.6605,                0.95188,                      1,                0.99192,                0.85625,                0.56583,                0.44344,                 1.4154,              0.0011684,              0.0011684,              0.0011684
                     44,                0.58659,                0.45583,                 1.6164,                0.88905,                      1,                0.96876,                0.80916,                0.61778,                0.55638,                 1.5082,              0.0011486,              0.0011486,              0.0011486
                     45,                0.66004,                0.46876,                 1.6881,                0.92297,                      1,                0.97907,                0.86401,                0.54808,                0.46128,                 1.4266,              0.0011288,              0.0011288,              0.0011288
                     46,                0.62207,                0.44587,                 1.6545,                0.99944,                      1,                  0.995,                0.90497,                0.40952,                0.38476,                 1.3579,               0.001109,               0.001109,               0.001109
                     47,                0.60976,                0.44241,                 1.6482,                0.99835,                      1,                  0.995,                0.91879,                0.38964,                0.34395,                 1.3096,              0.0010892,              0.0010892,              0.0010892
                     48,                0.62994,                0.43452,                 1.6284,                      1,                0.98765,                  0.995,                0.92436,                0.44175,                0.38796,                 1.3508,              0.0010694,              0.0010694,              0.0010694
                     49,                0.61027,                0.44044,                 1.6616,                0.92494,                 0.9862,                0.98741,                0.89053,                0.50668,                0.45305,                 1.4681,              0.0010496,              0.0010496,              0.0010496
                     50,                0.64219,                0.44544,                 1.7055,                0.94929,                      1,                0.99192,                0.87453,                0.51511,                0.43003,                 1.4034,              0.0010298,              0.0010298,              0.0010298
                     51,                0.61045,                0.44856,                 1.6749,                0.99731,                      1,                  0.995,                0.95636,                0.33928,                0.30278,                 1.3342,                0.00101,                0.00101,                0.00101
                     52,                0.63092,                0.43854,                 1.7402,                0.99697,                      1,                  0.995,                0.94979,                0.35218,                 0.3049,                 1.3412,              0.0009902,              0.0009902,              0.0009902
                     53,                0.63354,                0.44544,                 1.6385,                 0.9926,                      1,                  0.995,                0.93805,                0.37406,                0.31062,                 1.3079,              0.0009704,              0.0009704,              0.0009704
                     54,                0.62365,                0.42686,                 1.6739,                0.95624,                      1,                0.99346,                0.93401,                 0.3718,                0.33486,                 1.3266,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.5887,                 0.4278,                 1.6904,                  0.951,                      1,                0.99346,                0.92685,                0.37648,                 0.3735,                 1.3773,              0.0009308,              0.0009308,              0.0009308
                     56,                0.60032,                 0.4327,                  1.663,                0.99392,                      1,                  0.995,                0.94565,                0.38442,                0.36549,                 1.3234,               0.000911,               0.000911,               0.000911
                     57,                0.60094,                0.42019,                 1.6609,                      1,                0.99184,                  0.995,                0.93463,                0.35789,                0.34282,                 1.3074,              0.0008912,              0.0008912,              0.0008912
                     58,                0.65162,                0.45309,                 1.7368,                      1,                 0.9972,                  0.995,                0.95583,                 0.3507,                0.32722,                 1.2981,              0.0008714,              0.0008714,              0.0008714
                     59,                0.56724,                0.40377,                 1.6396,                 0.9956,                      1,                  0.995,                0.96461,                0.30161,                0.30177,                 1.2786,              0.0008516,              0.0008516,              0.0008516
                     60,                0.57481,                0.41626,                 1.6504,                 0.9971,                      1,                  0.995,                0.95091,                0.30056,                0.28905,                 1.3013,              0.0008318,              0.0008318,              0.0008318
                     61,                0.56525,                 0.3947,                 1.6629,                0.99921,                      1,                  0.995,                0.95237,                 0.3094,                0.31745,                 1.2974,               0.000812,               0.000812,               0.000812
                     62,                0.57245,                  0.416,                 1.6487,                0.98898,                   0.96,                0.99346,                0.94496,                0.32156,                  0.315,                  1.293,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.5619,                0.41428,                 1.5907,                0.96149,                0.99869,                0.99346,                0.94554,                0.31827,                0.32749,                 1.3053,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58035,                0.41812,                 1.6586,                0.99843,                      1,                  0.995,                0.95027,                0.32272,                0.30384,                  1.271,              0.0007526,              0.0007526,              0.0007526
                     65,                0.57126,                0.40767,                 1.6064,                0.99664,                      1,                  0.995,                0.94448,                0.33962,                0.30179,                 1.2727,              0.0007328,              0.0007328,              0.0007328
                     66,                0.56888,                0.41788,                  1.632,                0.99681,                      1,                  0.995,                0.94714,                0.32968,                0.31556,                 1.2943,               0.000713,               0.000713,               0.000713
                     67,                0.58357,                0.40181,                 1.6889,                0.99419,                      1,                  0.995,                0.95414,                0.30526,                0.30567,                  1.262,              0.0006932,              0.0006932,              0.0006932
                     68,                0.54154,                0.38954,                 1.6019,                      1,                0.99847,                  0.995,                0.95117,                0.32175,                0.32892,                 1.2716,              0.0006734,              0.0006734,              0.0006734
                     69,                0.54069,                0.37698,                 1.6126,                0.98605,                      1,                  0.995,                0.93821,                0.32946,                 0.3564,                 1.2753,              0.0006536,              0.0006536,              0.0006536
                     70,                0.54848,                0.38826,                 1.6104,                 0.9935,                      1,                  0.995,                0.92818,                0.30602,                0.34383,                 1.2709,              0.0006338,              0.0006338,              0.0006338
                     71,                0.57735,                0.41884,                 1.7188,                0.95687,                      1,                0.99346,                0.96655,                0.28874,                0.32856,                 1.2722,               0.000614,               0.000614,               0.000614
                     72,                0.53027,                0.38386,                  1.616,                0.96522,                      1,                  0.995,                0.96346,                0.29209,                0.31207,                 1.2771,              0.0005942,              0.0005942,              0.0005942
                     73,                  0.592,                0.42951,                 1.6982,                      1,                0.99693,                  0.995,                 0.9356,                0.32873,                 0.3532,                 1.2779,              0.0005744,              0.0005744,              0.0005744
                     74,                0.53589,                0.39545,                 1.5713,                0.95959,                   0.96,                0.99204,                0.90702,                0.36065,                0.39289,                  1.287,              0.0005546,              0.0005546,              0.0005546
                     75,                0.58323,                0.41572,                 1.6775,                0.99519,                   0.96,                0.99204,                0.90115,                0.34676,                0.34894,                 1.2655,              0.0005348,              0.0005348,              0.0005348
                     76,                0.55536,                0.41049,                 1.7056,                0.99742,                      1,                  0.995,                0.95963,                  0.285,                0.27389,                  1.278,               0.000515,               0.000515,               0.000515
                     77,                0.57389,                0.40812,                  1.705,                0.99778,                      1,                  0.995,                  0.952,                0.28834,                0.28264,                  1.299,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52637,                0.38608,                 1.6699,                0.99788,                      1,                  0.995,                0.96044,                0.28597,                0.26994,                 1.2828,              0.0004754,              0.0004754,              0.0004754
                     79,                0.53998,                0.39331,                 1.6037,                0.99762,                      1,                  0.995,                0.95247,                 0.2921,                0.27027,                 1.2606,              0.0004556,              0.0004556,              0.0004556
                     80,                0.56607,                0.39713,                 1.6642,                0.99634,                      1,                  0.995,                0.94742,                0.27747,                0.26391,                 1.2728,              0.0004358,              0.0004358,              0.0004358
                     81,                0.55887,                0.39705,                   1.72,                 0.9931,                      1,                  0.995,                0.95152,                0.28625,                0.26978,                 1.3014,               0.000416,               0.000416,               0.000416
                     82,                0.50183,                0.38289,                 1.6098,                0.99046,                      1,                  0.995,                0.94687,                0.29212,                0.28806,                 1.3065,              0.0003962,              0.0003962,              0.0003962
                     83,                0.53479,                0.38618,                 1.6462,                0.98914,                      1,                  0.995,                0.95199,                0.29316,                0.27288,                 1.2835,              0.0003764,              0.0003764,              0.0003764
                     84,                0.53762,                0.37977,                 1.6128,                0.99551,                      1,                  0.995,                0.95381,                0.28198,                0.25646,                 1.2773,              0.0003566,              0.0003566,              0.0003566
                     85,                0.53248,                0.37379,                 1.6405,                0.99776,                      1,                  0.995,                0.96016,                0.27864,                0.25276,                 1.2804,              0.0003368,              0.0003368,              0.0003368
                     86,                0.55668,                 0.4062,                 1.7197,                0.99783,                      1,                  0.995,                0.96051,                0.25903,                0.25213,                 1.2776,               0.000317,               0.000317,               0.000317
                     87,                0.50043,                0.36934,                 1.6267,                0.99787,                      1,                  0.995,                0.96642,                0.25139,                0.25864,                 1.2738,              0.0002972,              0.0002972,              0.0002972
                     88,                0.48991,                0.34965,                 1.6208,                0.99787,                      1,                  0.995,                0.96507,                0.24684,                0.26071,                 1.2761,              0.0002774,              0.0002774,              0.0002774
                     89,                0.49545,                0.36278,                 1.6423,                0.99782,                      1,                  0.995,                0.97231,                0.24879,                0.25815,                 1.2909,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.5275,                0.37448,                 1.6885,                0.99767,                      1,                  0.995,                0.97247,                0.25772,                0.25386,                 1.3016,              0.0002378,              0.0002378,              0.0002378
                     91,                0.29703,                0.27694,                 1.3632,                0.99715,                      1,                  0.995,                 0.9753,                0.25984,                0.24765,                 1.2865,               0.000218,               0.000218,               0.000218
                     92,                0.30684,                0.26552,                 1.3245,                0.99741,                      1,                  0.995,                0.97981,                0.26087,                 0.2408,                 1.2766,              0.0001982,              0.0001982,              0.0001982
                     93,                0.30278,                0.26355,                 1.3429,                0.99757,                      1,                  0.995,                0.97234,                0.26559,                0.24301,                 1.2787,              0.0001784,              0.0001784,              0.0001784
                     94,                0.27912,                0.25511,                 1.3378,                0.99745,                      1,                  0.995,                0.97016,                0.27434,                0.25038,                 1.2896,              0.0001586,              0.0001586,              0.0001586
                     95,                0.27188,                 0.2503,                 1.3407,                0.99716,                      1,                  0.995,                0.97829,                0.27037,                 0.2514,                 1.2954,              0.0001388,              0.0001388,              0.0001388
                     96,                0.25914,                0.24791,                 1.3387,                0.99737,                      1,                  0.995,                 0.9794,                0.25584,                0.24405,                 1.2875,               0.000119,               0.000119,               0.000119
                     97,                0.26155,                0.24699,                 1.3437,                0.99696,                      1,                  0.995,                0.97023,                0.25641,                0.24111,                 1.2831,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.27334,                0.24681,                 1.3241,                0.99754,                      1,                  0.995,                0.97251,                0.25604,                0.23684,                 1.2836,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.28257,                0.24182,                 1.3396,                0.99758,                      1,                  0.995,                0.96705,                0.25952,                0.23268,                 1.2892,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.27705,                0.24848,                 1.3206,                0.99742,                      1,                  0.995,                 0.9665,                0.25847,                0.23062,                 1.2923,               3.98e-05,               3.98e-05,               3.98e-05
